STRESSOR_NAME,Timebekken,Vasshaglona,Heiabekken,Skuterudbekken,Mørdrebekken
2-methyl-4-chlorophenoxyacetic acid (MCPA),0.01*,0.05 ± 0.07,0.5 ± 0.59,0.43 ± 0.61,0.33 ± 0.55
florasulam,0.02*,NA,NA,NA,NA
fluroxypyr,0.28 ± 0.15,0.07 ± 0.02,0.16*,0.26 ± 0.21,0.25 ± 0.2
metribuzin,0.3 ± 0.41,0.08 ± 0.07,0.18 ± 0.43,NA,NA
propiconazole,0.02*,NA,NA,0.02 ± 0,0.16 ± 0.28
aclonifen,NA,0.05 ± 0.05,NA,NA,NA
bentazone,NA,0.03 ± 0.01,NA,NA,0.21 ± 0.2
boscalid,NA,0.05 ± 0.04,0.04 ± 0.02,0.02 ± 0,NA
chlorfenvinphos,NA,0.02*,NA,NA,NA
clomazone,NA,0.03 ± 0.03,NA,NA,NA
cyazofamid,NA,0.05*,NA,NA,NA
cyprodinil,NA,0.03 ± 0.03,NA,NA,NA
fenamidone,NA,0.21 ± 0.21,NA,NA,NA
fludioxonil,NA,0.02 ± 0.01,NA,NA,NA
imidacloprid,NA,0.02 ± 0.01,1.14 ± 1.38,0.02*,NA
mandipropamid,NA,0.04 ± 0.04,0.15 ± 0.19,NA,NA
pencycuron,NA,0.05 ± 0.06,0.18 ± 0.26,NA,0.07 ± 0.04
propamocarb,NA,0.1 ± 0.15,0.52 ± 1.14,NA,NA
pyridafol,NA,0.08 ± 0.1,NA,NA,NA
spinosad,NA,0.03*,0.01*,NA,NA
thiacloprid,NA,0.07 ± 0.07,NA,NA,NA
"1,1'-(2,2-Dichloro-1,1-ethenediyl)bis(4-chlorobenzene)",NA,NA,0.01*,NA,NA
"2,6-dichlorobenzamide (BAM)",NA,NA,0.02*,NA,NA
bixafen,NA,NA,0.02 ± 0.01,0.02 ± 0.01,0.01*
clopyralid,NA,NA,0.11*,0.13 ± 0.08,0.2*
diflufenican,NA,NA,0.02 ± 0.01,NA,NA
metalaxyl,NA,NA,0.03 ± 0.02,NA,NA
metamitron,NA,NA,0.02 ± 0.01,NA,NA
propoxycarbazone,NA,NA,0.02 ± 0,NA,NA
prothioconazole-desthio,NA,NA,0.04 ± 0.03,0.05 ± 0.05,0.03 ± 0.04
pyraclostrobin,NA,NA,0.02 ± 0.01,NA,NA
trifloxystrobin,NA,NA,0.03*,NA,NA
carbendazim,NA,NA,NA,0.01*,NA
dichlorprop,NA,NA,NA,0.04*,NA
mecoprop,NA,NA,NA,0.01*,NA
pyroxsulam,NA,NA,NA,0.01 ± 0,NA
azoxystrobin,NA,NA,NA,NA,0.02 ± 0.01
fenpropimorph,NA,NA,NA,NA,0.05*
pinoxaden,NA,NA,NA,NA,0.03*
thiabendazole,NA,NA,NA,NA,0.04*
